Code,Input,RD-,RD+,cRD-,cRD+
D.00,00000,100111,011000,2,-2
D.01,00001,011101,100010,2,-2
D.02,00010,101101,010010,2,-2
D.03,00011,110001,110001,0,0
D.04,00100,110101,001010,2,-2
D.05,00101,101001,101001,0,0
D.06,00110,011001,011001,0,0
D.07,00111,111000,000111,0,0
D.08,01000,111001,000110,2,-2
D.09,01001,100101,100101,0,0
D.10,01010,010101,010101,0,0
D.11,01011,110100,110100,0,0
D.12,01100,001101,001101,0,0
D.13,01101,101100,101100,0,0
D.14,01110,011100,011100,0,0
D.15,01111,010111,101000,2,-2
D.16,10000,011011,100100,2,-2
D.17,10001,100011,100011,0,0
D.18,10010,010011,010011,0,0
D.19,10011,110010,110010,0,0
D.20,10100,001011,001011,0,0
D.21,10101,101010,101010,0,0
D.22,10110,011010,011010,0,0
D.23 †,10111,111010,000101,2,-2
D.24,11000,110011,001100,2,-2
D.25,11001,100110,100110,0,0
D.26,11010,010110,010110,0,0
D.27 †,11011,110110,001001,2,-2
D.28,11100,001110,001110,0,0
D.29 †,11101,101110,010001,2,-2
D.30 †,11110,011110,100001,2,-2
D.31,11111,101011,010100,2,-2
